chave_orcamento,cliente,vendedor,data_orcamento_dt,data_pedido_dt,data_faturamento_dt,teve_revisao,qtd_revisoes,ultima_revisao,status_atual,valor_total,primeira_aparicao_dt,ultima_atualizacao_dt
5535,,,2026-01-09,,,False,0,0,ORCAMENTO,6920.0,2026-01-15 18:00:08,2026-01-15 18:00:08
5601,MERITOR DO BRASIL,MARILENE,2026-01-05,,,True,1,1,ORCAMENTO,8420.0,2026-01-15 18:00:08,2026-01-15 18:00:08
1,VEDAFORT,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,2360.0,2026-01-15 18:00:08,2026-01-15 18:00:08
2,M DA LUZ -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,2360.0,2026-01-15 18:00:08,2026-01-15 18:00:08
3,PIRACANJUBA,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,500.0,2026-01-15 18:00:08,2026-01-15 18:00:08
6,TSM TECNOLOGIA -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,1772.0,2026-01-15 18:00:08,2026-01-15 18:00:08
9,FRANIK -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,1212.0,2026-01-15 18:00:08,2026-01-15 18:00:08
10,FALCARE,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,3842.0,2026-01-15 18:00:08,2026-01-15 18:00:08
12,SLG COMERCIO -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,4543.0,2026-01-15 18:00:08,2026-01-15 18:00:08
13,CBV,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1065.6,2026-01-15 18:00:08,2026-01-15 18:00:08
14,SLG COMERCIO -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,6248.0,2026-01-15 18:00:08,2026-01-15 18:00:08
15,ACEPIL,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,2820.0,2026-01-15 18:00:08,2026-01-15 18:00:08
16,ALCONEX,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,2077.74,2026-01-15 18:00:08,2026-01-15 18:00:08
18,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,2820.0,2026-01-15 18:00:08,2026-01-15 18:00:08
19,INDUMAX,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,3760.0,2026-01-15 18:00:08,2026-01-15 18:00:08
20,DINAMICA,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,863.0,2026-01-15 18:00:08,2026-01-15 18:00:08
24,ESPECULAÇO,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,12616.0,2026-01-15 18:00:08,2026-01-15 18:00:08
26,CONEFLANGE,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,5310.0,2026-01-15 18:00:08,2026-01-15 18:00:08
27,CONDUMAX,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,1007.0,2026-01-15 18:00:08,2026-01-15 18:00:08
29,AMPLITHERM -,ARTHUR,2026-01-05,,,False,0,0,ORCAMENTO,5133.0,2026-01-15 18:00:08,2026-01-15 18:00:08
30,HITECH,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1304.8,2026-01-15 18:00:08,2026-01-15 18:00:08
32,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1137.6,2026-01-15 18:00:08,2026-01-15 18:00:08
33,CIRMONT,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,668.0,2026-01-15 18:00:08,2026-01-15 18:00:08
35,BVI,ROMULO,2026-01-05,,,False,0,0,ORCAMENTO,36076.0,2026-01-15 18:00:08,2026-01-15 18:00:08
36,ACEPIL,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,1119.6,2026-01-15 18:00:08,2026-01-15 18:00:08
37,TOPFLOW,CARLA,2026-01-05,,,False,0,0,ORCAMENTO,538.85,2026-01-15 18:00:08,2026-01-15 18:00:08
38,PETROBRAS,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,14624.0,2026-01-15 18:00:08,2026-01-15 18:00:08
40,CONEVAS,MARILENE,2026-01-05,,,True,1,1,ORCAMENTO,838.0,2026-01-15 18:00:08,2026-01-15 18:00:08
41,MAKE,MARILENE,2026-01-05,,,False,0,0,ORCAMENTO,1910.0,2026-01-15 18:00:08,2026-01-15 18:00:08
42,CBV,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2100.6,2026-01-15 18:00:08,2026-01-15 18:00:08
43,PS COMBUSTÃO,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,1353.0,2026-01-15 18:00:08,2026-01-15 18:00:08
44,AUTOVAL,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2180.0,2026-01-15 18:00:08,2026-01-15 18:00:08
46,ACEPIL,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,11976.0,2026-01-15 18:00:08,2026-01-15 18:00:08
49,ENERG,MARILENE,2026-01-06,2026-01-19,2026-01-19,True,1,1,FATURADO,7368.0,2026-01-15 18:00:08,2026-01-21 16:59:32
51,PS COMBUSTÃO,MARILENE,2026-01-06,,,False,0,0,ORCAMENTO,2142.0,2026-01-15 18:00:08,2026-01-15 18:00:08
52,ACEPIL,ROMULO,2026-01-06,,,False,0,0,ORCAMENTO,482.0,2026-01-15 18:00:08,2026-01-15 18:00:08
53,ACEPIL,CARLA,2026-01-06,2026-01-21,2026-01-21,False,0,0,FATURADO,607.8,2026-01-15 18:00:08,2026-01-21 16:59:32
54,BETAWORKS,CARLA,2026-01-06,,,False,0,0,ORCAMENTO,2730.0,2026-01-15 18:00:08,2026-01-15 18:00:08
